Vehicle ID,Lane,Frame,Timestamp
3630,2,7666,00:04:15
3634,1,7677,00:04:15
3625,2,7707,00:04:16
3651,2,7710,00:04:16
3653,1,7712,00:04:17
3656,2,7720,00:04:17
3670,2,7749,00:04:18
3669,1,7752,00:04:18
3673,2,7759,00:04:18
3614,1,7770,00:04:18
3693,1,7831,00:04:21
3697,1,7845,00:04:21
3679,1,7871,00:04:22
3687,1,7895,00:04:23
3720,2,7900,00:04:23
3718,3,7905,00:04:23
3733,1,7923,00:04:24
3686,1,7937,00:04:24
3745,2,7940,00:04:24
3714,2,7985,00:04:26
3767,2,7995,00:04:26
3766,1,7999,00:04:26
3774,2,8006,00:04:26
3773,1,8006,00:04:26
3780,2,8013,00:04:27
3779,1,8013,00:04:27
3752,1,8019,00:04:27
3796,1,8059,00:04:28
3798,1,8060,00:04:28
3805,1,8066,00:04:28
3811,1,8074,00:04:29
3810,2,8079,00:04:29
3816,1,8080,00:04:29
3802,2,8084,00:04:29
3826,2,8099,00:04:29
3847,1,8145,00:04:31
3853,1,8152,00:04:31
3859,1,8162,00:04:32
3865,1,8179,00:04:32
3857,2,8179,00:04:32
3872,2,8183,00:04:32
3870,1,8183,00:04:32
3883,1,8207,00:04:33
3891,2,8208,00:04:33
3903,1,8236,00:04:34
3868,2,8237,00:04:34
3912,2,8239,00:04:34
3922,2,8251,00:04:35
3924,2,8256,00:04:35
3928,1,8271,00:04:35
3952,1,8326,00:04:37
3954,1,8355,00:04:38
3966,1,8361,00:04:38
3971,1,8366,00:04:38
3976,1,8371,00:04:39
3989,1,8383,00:04:39
3980,1,8383,00:04:39
3988,1,8384,00:04:39
3982,2,8386,00:04:39
3994,2,8390,00:04:39
3937,1,8417,00:04:40
4010,1,8421,00:04:40
4022,1,8439,00:04:41
4017,2,8442,00:04:41
4027,2,8448,00:04:41
3953,1,8453,00:04:41
4032,2,8460,00:04:41
4035,2,8465,00:04:42
3993,1,8465,00:04:42
4039,1,8476,00:04:42
4045,2,8493,00:04:43
4040,2,8493,00:04:43
3999,1,8495,00:04:43
4048,1,8499,00:04:43
4038,1,8499,00:04:43
